sample_id	cluster_id	size	mean	std
PyCloneInput	0	241	0.6462593668072917	0.01058963586415426
PyCloneInput	1	26	0.8447464307043177	0.007947495821038505
PyCloneInput	2	10	0.7782316390017038	0.02919178260598671
PyCloneInput	3	1	0.3443468286331278	0.2600860510157149
PyCloneInput	4	1	0.5884072217533853	0.24626692193148925
PyCloneInput	5	1	0.7585023280488483	0.15925573643535412
PyCloneInput	6	4	0.6255759379314239	0.18306947203194374
PyCloneInput	7	5	0.034264433425827016	0.011631958844370141
PyCloneInput	8	1	0.631968512057561	0.23160880340693976
PyCloneInput	9	1	0.6831080296632434	0.20841755374066978
PyCloneInput	10	1	0.6408163790768047	0.23317845608713864
PyCloneInput	11	1	0.6361580862946108	0.2382473231625097
PyCloneInput	12	1	0.6799414913749366	0.21245589063684
PyCloneInput	13	1	0.7483174036501713	0.16654395372188138
PyCloneInput	14	1	0.6489477860446359	0.2347162198157309
PyCloneInput	15	1	0.6943204851954643	0.21045482686302003
PyCloneInput	16	1	0.7350485985602779	0.17582123375210573
PyCloneInput	17	1	0.15063308204186068	0.14348597255002374
PyCloneInput	18	1	0.6232303370112823	0.23912410720446248
